Domain,Sc,Hs,abundance
2-Hacid_dh,0.248138957816377,0,2.31806333496276
6PGD,0.248138957816377,0,2.51454775266029
Aconitase,0.248138957816377,0,2.16731733474818
Aminotran_4,0.248138957816377,0.0233045910044279,2.20547503674089
CPSase_L_D2,0.248138957816377,0.0466091820088557,2.57460994134019
Cytochrom_C,0.248138957816377,0.0466091820088557,2.51121470113639
G6PD_C,0.248138957816377,0.163132137030995,2.50242711998443
Glycogen_syn,0.248138957816377,0.0932183640177115,2.36903022180915
Gp_dh_N,0.248138957816377,0.0466091820088557,3.81980706459076
Helicase_C,0.248138957816377,0.139827546026567,2.38787902195657
HMGL-like,0.248138957816377,0,2.29003461136252
Lyase_1,0.248138957816377,0.0233045910044279,2.17983892802319
MGS,0.248138957816377,0.0466091820088557,2.81524559191656
OTCace,0.248138957816377,0.0233045910044279,3.04540122299584
Peptidase_C1_2,0.248138957816377,0,2.28330122870355
Peptidase_M16,0.248138957816377,0,2.11727129565576
Peptidase_M18,0.248138957816377,0,2.57403126772772
Peptidase_M24,0.248138957816377,0,2.55266821611219
PFK,0.248138957816377,0.139827546026567,2.50413090593545
PH,0.248138957816377,0.862269867163831,2.2519543982274
RNA_pol_L,0.248138957816377,0,2.34439227368511
RPN2_C,0.248138957816377,0,2.9329808219232
Transket_pyr,0.248138957816377,0.0233045910044279,2.52698506856
tRNA-synt_1d,0.248138957816377,0,2.54032947479087
Use1,0.248138957816377,0,1.77815125038364
WW,0.248138957816377,0.0932183640177115,2.098851307028
ABC_tran,0.297766749379653,0.0932183640177115,2.32725673542553
ADH_N,0.297766749379653,0.186436728035423,2.20884428934074
AICARFT_IMPCHas,0.297766749379653,0.0932183640177115,2.48643047885443
DAO,0.297766749379653,0,2.58827170684233
DnaJ,0.297766749379653,0.163132137030995,1.5227701580859
Glucosamine_iso,0.297766749379653,0,2.16435285578444
Hexokinase_2,0.297766749379653,0.116522955022139,2.33223641549144
PP2C,0.297766749379653,0,2.19312459835446
Sec1,0.297766749379653,0.116522955022139,2.3356584522893
SH3_1,0.297766749379653,0.722442321137264,2.36810085170935
TAL_FSA,0.297766749379653,0.0233045910044279,2.6662839226231
Thioredoxin,0.297766749379653,0.139827546026567,2.60178847241827
DEAD,0.347394540942928,0.32626427406199,2.31858501007883
