	induced	condition	gene name wt/mutant	gene name dead	variable	stat (MWU test)	P (MWU test)	mean wt/mutant	median wt/mutant	var wt/mutant	len wt/mutant	mean dead	median dead	var dead	len dead	difference between mean (wt/mutant-dead)	difference between median (wt/mutant-dead)	P (MWU test, FDR corrected)	significant by not induced difference between mean (wt/mutant-dead) mean+-2*std by comparison	significant change, P (MWU test, FDR corrected) < 0.05	significant change, P (MWU test, FDR corrected) < 0.01	significant change, P (MWU test, FDR corrected) < 0.001
1804	induced	Caffein 10mM	ABL1	ABL1	AUC simps	256.0	1.5449101737495915e-06	0.19498575681986674	0.17059963262005695	0.10451886940898567	16.0	-1.9664463032762078	-1.8152035647039018	0.6215451100723861	16.0	2.1614320600960744	1.9858031973239587	1.1052049704516309e-05	True	increase	increase	increase
1805	induced	Caffein 2mM	ABL1	ABL1	AUC simps	7.0	5.5851509918479055e-06	-0.5614657351131589	-0.5334729591740022	0.03303015854745211	16.0	-0.08221096057150401	-0.045824446369227445	0.030867115802152276	16.0	-0.4792547745416549	-0.4876485128047747	2.360995646553887e-05	False	decrease	decrease	decrease
1806	induced	CuSO4 1mM	ABL1	ABL1	AUC simps	13.0	1.5932777797286954e-05	-0.06349607185685247	-0.04035569532817895	0.07106880701287464	16.0	0.5064275719866234	0.5672513382811815	0.04905610574468062	16.0	-0.5699236438434758	-0.6076070336093604	5.487956796843284e-05	False	decrease	decrease	decrease
1807	induced	Cycloheximide 0.05 uM	ABL1	ABL1	AUC simps	0.0	1.5449101737495915e-06	-0.9892797409893164	-0.9931718739627229	0.0322207842028208	16.0	-0.04972003176009121	0.004525534202556969	0.02269167821249936	16.0	-0.9395597092292252	-0.9976974081652799	1.1052049704516309e-05	True	decrease	decrease	decrease
1808	induced	Cycloheximide 0.2 uM	ABL1	ABL1	AUC simps	0.0	1.5449101737495915e-06	-1.3061915227238938	-1.2941519086974616	0.04825987862657958	16.0	-0.09637204639357888	-0.10368771355593154	0.022273551983501873	16.0	-1.209819476330315	-1.19046419514153	1.1052049704516309e-05	True	decrease	decrease	decrease
1809	induced	Cycloheximide 0.5 uM	ABL1	ABL1	AUC simps	21.0	5.973130942826547e-05	-0.729361876315503	-0.6596303629518285	0.04412502906200418	16.0	-0.3144292695684012	-0.28327234166358295	0.04409431763817984	16.0	-0.41493260674710175	-0.3763580212882456	0.00017359411802589652	False	decrease	decrease	decrease
1810	induced	Cyclosporin	ABL1	ABL1	AUC simps	4.0	3.246395960542251e-06	-0.5921239538386343	-0.5686570446157333	0.022558265970809344	16.0	-0.11621274581758412	-0.07892031259657628	0.021525709758256364	16.0	-0.47591120802105014	-0.489736732019157	1.589025391212786e-05	False	decrease	decrease	decrease
1811	induced	DMSO 2%	ABL1	ABL1	AUC simps	0.0	1.5449101737495915e-06	-0.6988778766478771	-0.6568034381886108	0.038689291666340136	16.0	0.0022100463516174784	0.06698779283519585	0.02753756745875509	16.0	-0.7010879229994946	-0.7237912310238066	1.1052049704516309e-05	True	decrease	decrease	decrease
1812	induced	DMSO 6%	ABL1	ABL1	AUC simps	18.0	3.6762780669479905e-05	-0.6856389700229084	-0.5939764239810845	0.09523771046737255	16.0	-0.1564700155130172	-0.15527532068502303	0.07228862421749534	16.0	-0.5291689545098912	-0.4387011032960615	0.0001178944345607459	False	decrease	decrease	decrease
1813	induced	DMSO 8%	ABL1	ABL1	AUC simps	120.0	0.7774322029019755	-0.7669556471310033	-0.6518965401188996	0.7436276350663954	16.0	-0.7880164011508455	-0.4896897037126955	0.7814788568235969	16.0	0.0210607540198422	-0.16220683640620415	0.7994391922562517	False	ns	ns	ns
1814	induced	DTT 5mM	ABL1	ABL1	AUC simps	228.0	0.00017680118383383832	-0.10959821638972911	-0.1637139636542848	0.2431816243938654	16.0	-0.9092834953917786	-0.9862601259676129	0.2661970452158401	16.0	0.7996852790020494	0.8225461623133281	0.0004216028229883837	False	increase	increase	increase
1815	induced	Dip 150uM	ABL1	ABL1	AUC simps	66.0	0.020456470963716476	-0.7021379314490184	-0.5648284719873136	0.14429433386119225	16.0	-0.27930659621027587	-0.3000134367806222	0.13327015255144467	16.0	-0.4228313352387425	-0.26481503520669136	0.03280089309699366	False	decrease	ns	ns
1816	induced	Dip 300uM	ABL1	ABL1	AUC simps	46.0	0.00212881440560165	-0.8554338889019149	-0.8400493556794775	0.2261665223253152	16.0	-0.3445816589738657	-0.48283417416203633	0.09929282012391652	16.0	-0.5108522299280491	-0.35721518151744114	0.004212334887679861	False	decrease	decrease	ns
